Date,Open,High,Low,Close,Change,Volume
23-Feb-21,"31,722.16","31,800.90","31,597.31","31,626.19",-21.38,"718,191,025"
22-Feb-21,"31,874.78","31,958.58","31,612.55","31,647.57",-203.61,"721,952,658"
19-Feb-21,"31,748.75","31,904.30","31,749.43","31,851.18",91.36,"694,795,084"
18-Feb-21,"32,049.85","32,104.67","31,745.72","31,759.82",-288.86,"577,837,595"
17-Feb-21,"32,166.21","32,390.77","32,044.01","32,048.68",-93.15,"701,658,181"
16-Feb-21,"31,898.51","32,155.42","31,891.80","32,141.83",250.03,"514,044,525"
15-Feb-21,"31,695.01","31,959.00","31,552.69","31,891.80",339.11,"486,340,423"
12-Feb-21,"31,703.25","31,819.14","31,517.21","31,552.69",-151.98,"442,547,019"
11-Feb-21,"32,121.31","32,255.15","31,653.40","31,704.67",-410.7,"1,124,724,205"
10-Feb-21,"32,186.99","32,234.98","31,949.20","32,115.37",-51.32,"1,011,825,950"
9-Feb-21,"32,275.59","32,365.63","32,149.63","32,166.69",-80.25,"663,958,819"
8-Feb-21,"32,393.94","32,478.42","32,185.62","32,246.94",-139.15,"428,332,082"
4-Feb-21,"32,358.58","32,602.03","32,302.37","32,386.09",27.13,"440,244,554"
3-Feb-21,"32,187.71","32,451.23","32,167.97","32,358.96",190.99,"616,200,447"
2-Feb-21,"32,086.81","32,183.85","31,985.60","32,167.97",166.89,"467,989,986"
1-Feb-21,"32,075.13","32,297.93","31,972.24","32,001.08",-60.46,"692,898,215"
29-Jan-21,"31,923.73","32,260.89","31,914.12","32,061.53",147.41,"839,457,168"
28-Jan-21,"32,072.33","32,174.57","31,887.70","31,914.12",-158.77,"843,983,643"
27-Jan-21,"32,063.38","32,237.96","32,009.03","32,072.89",47.42,"610,915,766"
26-Jan-21,"31,996.67","32,091.66","31,933.31","32,025.47",75.01,"603,234,345"
25-Jan-21,"31,850.27","32,017.88","31,840.92","31,950.46",109.54,"470,018,957"
22-Jan-21,"31,929.64","31,975.96","31,741.84","31,840.92",-72.94,"430,527,170"
21-Jan-21,"31,723.52","32,087.84","31,722.41","31,913.85",191.44,"606,372,517"
20-Jan-21,"31,811.34","31,812.58","31,641.03","31,722.41",-89.33,"476,573,388"
